"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Jawa Barat","Kota","Cirebon","Pekalipan","45115 - 45118",
"Jawa Barat","Kab.","Sukabumi","Pelabuhan/Palabuhan Ratu","43365 - 43364",
"Jawa Barat","Kab.","Garut","Peundeuy","44178",
"Jawa Barat","Kab.","Cirebon","Plered","45154",
"Jawa Barat","Kab.","Purwakarta","Plered","41162",
"Jawa Barat","Kab.","Cirebon","Plumbon","45155",
"Jawa Barat","Kota","Bekasi","Pondok Gede","17411 - 17413",
"Jawa Barat","Kota","Bekasi","Pondok Melati","17414 - 17431",
"Jawa Barat","Kab.","Purwakarta","Pondoksalam","41115",
"Jawa Barat","Kab.","Sukabumi","Purabaya","43187",
"Jawa Barat","Kota","Tasikmalaya","Purbaratu","46196",
"Jawa Barat","Kab.","Ciamis","Purwadadi","46385",
"Jawa Barat","Kab.","Subang","Purwadadi","41261",
"Jawa Barat","Kota","Banjar","Purwaharja","46331 - 46334",
"Jawa Barat","Kab.","Purwakarta","Purwakarta","41111 - 41119",
"Jawa Barat","Kab.","Karawang","Purwasari","41371 - 41373",
"Jawa Barat","Kab.","Subang","Pusakajaya","41255",
"Jawa Barat","Kab.","Subang","Pusakanagara","41255",
"Jawa Barat","Kab.","Tasikmalaya","Puspahiang","46471",
"Jawa Barat","Kab.","Ciamis","Rajadesa","46254",
"Jawa Barat","Kab.","Majalengka","Rajagaluh","45472",
"Jawa Barat","Kab.","Tasikmalaya","Rajapolah","46155 - 46183",
"Jawa Barat","Kab.","Bandung","Ranca Bali","40973",
"Jawa Barat","Kab.","Bogor","Ranca Bungur","16310",
"Jawa Barat","Kab.","Bandung","Rancaekek","40394",
"Jawa Barat","Kab.","Ciamis","Rancah","46387",
"Jawa Barat","Kab.","Sumedang","Rancakalong","45361",
"Jawa Barat","Kota","Bandung","Rancasari","40292 - 40295",
"Jawa Barat","Kota","Bekasi","Rawalumbu","17114 - 17117",
"Jawa Barat","Kab.","Karawang","Rawamerta","41382",
"Jawa Barat","Kota","Bandung","Regol","40251 - 40255",
"Jawa Barat","Kab.","Karawang","Rengasdengklok","41352",
"Jawa Barat","Kab.","Bandung Barat","Rongga","40566",
"Jawa Barat","Kab.","Bogor","Rumpin","16350",
"Jawa Barat","Kab.","Ciamis","Sadananya","46256",
"Jawa Barat","Kab.","Subang","Sagalaherang","41282",
"Jawa Barat","Kab.","Sukabumi","Sagaranten","43181",
"Jawa Barat","Kab.","Bandung Barat","Saguling","40561",
"Jawa Barat","Kab.","Tasikmalaya","Salawu","46471",
"Jawa Barat","Kab.","Tasikmalaya","Salopa","46192",
"Jawa Barat","Kab.","Garut","Samarang","44161",
"Jawa Barat","Kab.","Tasikmalaya","Sariwangi","46465",
"Jawa Barat","Kota","Depok","Sawangan","16511 - 16519",
"Jawa Barat","Kab.","Cirebon","Sedong","45189",
"Jawa Barat","Kab.","Garut","Selaawi","44187",
